YEAR,TOTAL_INVESTED,ALL_ALTERNATIVE
1992,147573.22094940091,10576.215745369398
1995,188202.15349139977,13059.658169160013
1998,253335.99433904272,10279.602585817296
2001,333142.5945389632,13509.249576697228
2004,302593.9509245224,14216.618925877248
2007,327872.28901442816,15037.230850205804
2010,309913.40681357286,13173.950419166873
2013,331866.04948336614,11543.239496183585
2016,417970.3024111947,11814.355786148373
2019,425672.8905436928,13348.814548033937
2022,501759.0790254997,14229.715535972371
