Date,Global
2021-06-01,1.3957
2021-07-01,1.4085
2021-08-01,1.4238
2021-09-01,1.4433
2021-10-01,1.4685
2021-11-01,1.5044
2021-12-01,1.5344
2022-01-01,1.5576
2022-02-01,1.5832
2022-03-01,1.608
2022-04-01,1.6526
2022-05-01,1.6868
2022-06-01,1.7211
2022-07-01,1.7474
2022-08-01,1.7475
2022-09-01,1.7692
2022-10-01,1.8113
2022-11-01,1.8121
2022-12-01,1.8155
2023-01-01,1.8286
2023-02-01,1.8106
2023-03-01,1.8232
2023-04-01,1.8199
2023-05-01,1.8132
2023-06-01,1.8046
2023-07-01,1.7896
2023-08-01,1.7563
2023-09-01,1.7574
2023-10-01,1.7573
2023-11-01,1.7462
2023-12-01,1.734
2024-01-01,1.7214
2024-02-01,1.7127
2024-03-01,1.7077
2024-04-01,1.6986
2024-05-01,1.6884
2024-06-01,1.6789
2024-07-01,1.6697
2024-08-01,1.6565
2024-09-01,1.6535
2024-10-01,1.6382
2024-11-01,1.6305
2024-12-01,1.6149
2025-01-01,1.6096
2025-02-01,1.6012
2025-03-01,1.6082
2025-04-01,1.5987
2025-05-01,1.5773
2025-06-01,1.5743
2025-07-01,1.5698
