Date,PaperPrice
2021-06-01,177591.93
2021-07-01,172098.23
2021-08-01,167911.55
2021-09-01,172710.55
2021-10-01,168976.58
2021-11-01,161029.23
2021-12-01,193221.14
2022-01-01,173835.68
2022-02-01,167780.87
2022-03-01,164164.76
2022-04-01,158222.0
2022-05-01,158986.35
2022-06-01,155159.95
2022-07-01,154649.33
2022-08-01,154123.98
2022-09-01,145904.15
2022-10-01,146383.36
2022-11-01,140514.43
2022-12-01,135577.18
2023-01-01,148088.54
2023-02-01,136887.37
2023-03-01,129638.21
2023-04-01,136809.2
2023-05-01,133444.16
2023-06-01,125093.76
2023-07-01,125381.13
2023-08-01,116649.9
2023-09-01,111636.8
2023-10-01,117965.54
2023-11-01,106151.38
2023-12-01,106290.99
2024-01-01,101772.39
2024-02-01,109951.62
2024-03-01,108820.26
2024-04-01,107895.39
2024-05-01,105799.46
2024-06-01,105608.23
2024-07-01,103933.13
2024-08-01,102653.05
2024-09-01,101125.08
2024-10-01,101660.61
2024-11-01,98323.3
2024-12-01,104540.05
2025-01-01,98093.13
2025-02-01,102615.04
2025-03-01,101387.33
2025-04-01,97059.05
2025-05-01,100780.24
2025-06-01,100818.73
2025-07-01,101348.4
2025-08-01,101219.33
2025-09-01,104455.89
2025-10-01,100133.51
2025-11-01,96509.29
2025-12-01,94442.5
2026-01-01,104095.68
2026-02-01,102724.22
2026-03-01,108407.38
2026-04-01,113089.46
2026-05-01,117880.81
2026-06-01,122432.8
