Date,UngradedPrice
2021-06-01,15520.69
2021-07-01,15770.69
2021-08-01,14760.35
2021-09-01,13963.00
2021-10-01,13177.50
2021-11-01,14100.00
2021-12-01,13441.71
2022-01-01,12706.06
2022-02-01,10000.00
2022-03-01,9372.63
2022-04-01,10374.31
2022-05-01,11582.92
2022-06-01,12195.39
2022-07-01,11600.00
2022-08-01,10390.50
2022-09-01,11600.00
2022-10-01,12049.00
2022-11-01,12049.00
2022-12-01,13500.00
2023-01-01,20024.29
2023-02-01,13500.00
2023-03-01,18000.00
2023-04-01,18000.00
2023-05-01,13241.10
2023-06-01,13187.97
2023-07-01,13462.70
2023-08-01,15500.00
2023-09-01,15253.14
2023-10-01,14519.38
2023-11-01,14610.29
2023-12-01,12871.30
2024-01-01,11860.76
2024-02-01,12901.00
2024-03-01,12901.00
2024-04-01,12068.81
2024-05-01,11901.75
2024-06-01,11669.00
2024-07-01,10047.50
2024-08-01,13720.27
2024-09-01,15710.45
2024-10-01,17000.00
2024-11-01,15368.33
2024-12-01,12356.31
2025-01-01,15381.21
2025-02-01,15416.04
2025-03-01,14305.30
2025-04-01,15108.10
2025-05-01,19229.41
2025-06-01,20000.00
2025-07-01,19898.23
2025-08-01,22187.74
2025-09-01,20935.97
2025-10-01,22628.53
2025-11-01,27185.66
2025-12-01,23804.72
2026-01-01,26875.00
2026-02-01,27125.95
2026-03-01,31000.00
2026-04-01,36228.57
2026-05-01,39379.63
2026-06-01,36087.82
