Date,ValueinUSD
2021-06-01,37603
2021-07-01,38309
2021-08-01,38856
2021-09-01,39693
2021-10-01,40456
2021-11-01,41825
2021-12-01,42116
2022-01-01,44610
2022-02-01,46495
2022-03-01,52246
2022-04-01,53495
2022-05-01,51004
2022-06-01,49161
2022-07-01,46366
2022-08-01,44308
2022-09-01,43801
2022-10-01,42046
2022-11-01,40888
2022-12-01,41054
2023-01-01,40374
2023-02-01,40339
2023-03-01,39793
2023-04-01,40329
2023-05-01,40229
2023-06-01,39267
2023-07-01,38820
2023-08-01,38632
2023-09-01,38136
2023-10-01,37165
2023-11-01,36640
2023-12-01,36357
2024-01-01,36475
2024-02-01,36128
2024-03-01,35924
2024-04-01,35529
2024-05-01,35472
2024-06-01,35193
2024-07-01,35012
2024-08-01,34915
2024-09-01,34722
2024-10-01,35133
2024-11-01,34823
2024-12-01,34298
2025-01-01,33998
2025-02-01,33591
2025-03-01,33571
2025-04-01,34052
2025-05-01,34055
2025-06-01,34112
2025-07-01,34201
2025-08-01,34329
2025-09-01,34616
2025-10-01,35027
2025-11-01,35235
2025-12-01,35388
2026-01-01,35908
2026-02-01,36251
2026-03-01,36750
2026-04-01,36762
2026-05-01,37713
2026-06-01,37330
